mass_1 mass_2 theta_jn luminosity_distance
5.739597764154611 1.6632070032941035 2.295106143401454 424.3481038615136
5.829440980954211 1.6418022778038057 2.0254602897467295 295.05088847462247
5.714484132792293 1.6694179778573432 2.683759262201577 473.97497452481855
5.811913160418224 1.6455724593760925 2.8346305183899516 644.5692912942793
5.9569438008137165 1.6123396872089995 2.793145113865049 524.5786582968313
5.929331476607494 1.6187584996703608 2.8539044253924937 546.7253458319481
5.76078097611308 1.6583463409484025 2.835746621991464 476.46709883717057
5.706516207039555 1.6711642473991781 2.8814788342816375 472.42524086379245
5.881960418462452 1.6291718472536378 2.8452219663560774 399.4724284787487
5.85253214412079 1.63573639629724 2.122661350885482 267.91359732765466
5.738485170174075 1.6631059046206271 2.6073125935491976 547.0071238153013
5.76356631320172 1.6575098366004584 2.8824266516567394 433.74147626553327
5.917459749674187 1.6213253758456272 2.8522145488537993 598.3299119959548
5.895468270106416 1.6256137735360716 2.536008222869265 474.9350902394492
5.883250685491099 1.6288888876161718 1.9500398007177953 309.7205183447473
5.800563991924395 1.6486011061576442 2.4117270239945108 336.0717872371288
5.816039922115756 1.6446785147134442 2.4723015073230434 541.4257777646111
5.919356623833949 1.6210913620425667 3.075920793849576 492.4109272731605
5.889579897800328 1.6272810889954656 2.531116619844057 542.6131008955846
5.956649365965558 1.612270251862454 2.4250829817431563 424.61671275991824
5.738842607358191 1.663368449041827 2.8995448629739426 441.9972936396236
5.791548477451354 1.6502047832561868 2.002940096187094 342.9297867719328
5.9480510424226924 1.613913919802299 2.8440334776338534 465.097081851979
5.949541914619589 1.6135237012460344 2.5754428210859426 433.23910020007224
5.7518661256597134 1.6603263245389623 2.223405851333563 369.9872865658424
5.769479030543235 1.6561547879306915 2.87884322981618 445.47909201416996
5.793121244468324 1.650086828197606 2.019972570062498 349.9037034201925
5.890408179466784 1.626758171760603 2.6041923228462727 444.74134254628376
5.825037155661464 1.6421698106790878 2.9572382753308917 616.4842200998131
5.916262171722562 1.6212417637756635 2.7928155236061594 595.4833331233515
5.72781901860468 1.666184210174677 3.090855824472227 550.426149898122
5.737280300553229 1.6635596360433533 2.233689903824803 413.0520235498776
5.880591193768129 1.6290459121862932 2.8698916796080334 524.5328798661884
5.857780077418928 1.6351264503657943 2.493137686962989 520.8662822377867
5.924379717398063 1.6199054488047873 2.9257047918338572 543.8014347199137
5.8442327443350335 1.6375503473637774 3.1139447474692736 570.2512735846122
5.762472972102515 1.6569337443051677 2.087440959697419 318.52075382185035
5.903590966361417 1.6240498527925913 2.189289193598227 405.1595783201564
5.767596788814082 1.6562037804793917 2.623021361922627 570.3673861775652
